user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
nbjennings,2642449005,3,1004864279504392193,938,312.6666666666667,If you find yourself offended by the original tweet then you missed the point. The point isn’t attacking any sport. It’s pointing out that athletes should have to receive decent grades to receive a reward as big as a full ride
RanttMedia,2496335227,1,1012123238183395328,271,271.0,This is a victory for TrumpBoth sides trade barbsThe medias sound-byte coverage of political discourse as a low stakes game has led to both-sideism false equivalency and a less informed public.Politics is not a sport. Stop covering it like one.https://rantt.com/how-the-media-fuels-hyper-partisanship-by-treating-politics-like-a-sport/ …
SemWrestling,187726118,1,1003763278525452288,270,270.0,This sport is brutal.  Incredibly dreamcrushingly brutal.  It doesn’t care how hard you worked to accomplish a singular goal.  It is unforgiving.  But what it lacks in compassion it makes up for in opportunity for redemption.  Buy back in immediately!
wmata,18938912,1,1004511219997429760,268,268.0,NEW: Metro partnership with @MSE Monumental Sports will keep trains running an hour later Thursday night for @Capitals Game 5 watch events | Details and last train times here: https://bit.ly/2JmoCOU  #ALLCAPS #StanleyCup #DC #WeWantTheCup #wmatapic.twitter.com/RKaNK1vpq8
BlaineMc_8,2931126077,1,1005937014729003008,253,253.0,Jock Stein & the Lisbon Lions accepting their BBC Sport Team of The Year ‘67 award  Then predicting to Sir. Matt Busby they’ll be next to win the European Cup... (which they did of course). pic.twitter.com/DIcY1diNsJ
bellsserrano,1011092759220908038,1,1012107706746822656,251,251.0,best athletes ranked by their sport:15. you14. cant13. rank12. them11. because10. they9. are8. all7. very 6. athletic5. in4. their3. own 2. way1. soccer players
CodyWesterlund,749953926,1,1003410347598938113,227,227.0,I have a modest proposal: We use The Purge model regarding MJ-vs.-LeBron debate. For 364 days a year we dont bring MJ-LeBron dispute up. Then 1 day a year -- I suggest the Wednesday after the MLB All-Star Game a dead sports day -- we go all in on it as intensely as possible.
AlbertBreer,61830970,1,1003781310324858881,222,222.0,Just FYI: Weve seen players from various teams in various sports in the past skip the White House visit following a championship for political reasons. And its happened to presidents from both parties. Weve never seen this sort of reaction from DC.
nicholehyduk,894030746,1,1005937828742746112,216,216.0,when walking to the car after graduation this old man came up to me asking if i did sports when i said yes he handed me this & said “ive been going to dakota sports games for 40 yrs ive never had a family of my own so i want to gift this to you. keep it up.” my heart is so full pic.twitter.com/EF8kkGk5mG
TheBoydP,738576612,1,1008474355716820994,199,199.0,All I’m saying is I’ve never let the political views of actors authors musicians and athletes interfere with my enjoyment of their movies books music and sport but that is getting harder and harder to do.
OhMyGoal_US,737675851114926080,1,1010619753621098496,198,198.0,Sons tears after losing against Mexico. In South Korea a 2 year military service is mandatory to all men before turning 28. The only exception is to reach glory representing the country in sports like it happened in 2002. Sons career at Tottenham might come to an abrupt end. pic.twitter.com/uGasJCvcFD
Hutchie_Vale,94985967,1,1012078835351859201,197,197.0,Like many other sports clubs we ask @Edinburgh_CC and @Ed_Leisure to think again and stop pricing our young people out of sporting opportunity. It’s hard enough as it is to run small clubs without these unjustifiable price increases. Please support us and share this post.https://twitter.com/edinburghpaper/status/1011921822055567361 …
FairNinja,974596384409227269,1,1013526078432907266,196,196.0,#Croatia defeats #Denmark in a sports thriller and secures the #WorldCup #quarterfinals !!!#Sochi #croatia #fairninja #ico Proud to be #Croatian #CROhttp://www.fairninja.com
swrkr,2896215918,1,1013532216071217154,190,190.0,best girls ranked by sport15. you14. can’t 13. rank12. them 11. because 10. all 9. sports8. are 7. as6. equally 5. amazing4. as3. the2. others 1. gymnasts
DanC_97,493944899,1,1011751049567309825,183,183.0,Halfback passes to center back to wing back to center center holds it... Holds it... Holds it...pic.twitter.com/NFhagk39Mz
ShanelleLittle,99985419,1,1007774181100929024,176,176.0,Sometimes I think Nerd bro culture is the most dangerous subculture there is.  It’s like as long as the dude is bad at sports and doesn’t have a six pack abs you can write off anything in pity for him not being what 1980 told you was a hot guy.
999saudsalman,748265036687220736,1,1008474507777060865,165,165.0,Sport is for everyone…To play and to enjoy…Not to politicise and cry out in desperation and pettiness due to a single nation’s inability to be ethical and moral! #عريضة_رياضة_بلا_سياسة#SportWithoutPoliticspic.twitter.com/pWAZkEDeaX
sbell021,17667000,2,1003401251298607105,329,164.5,I am a Detroit sports fan and I would — without hesitation — sign up for another decade of Pistons purgatory if it would ensure John Beilein stays in Ann Arbor for the rest of his career.
KyShaunnnn,704712087239393280,1,1005557284339175424,162,162.0,10 university acceptances 3.6 GPA$25000 in scholarships Varsity Athlete for 2 Sports1 school record  Division 1 Athlete On a Athletic scholarshipGoing to my dream school FIRST PERSON IN MY FAMILY TO GRADUATE HIGH SCHOOL ALL GLORY TO GOD pic.twitter.com/68TAa97HfJ
BadgerFootball,21790466,1,1009936661030031360,160,160.0,Sports Illustrated projected the Top 100 players for college football in 2018. Five of them are are #Badgers.6. Jonathan Taylor42. David Edwards52. Michael Deiter74. Beau Benzschawel95. T.J. Edwards https://on.si.com/2tiLVmK pic.twitter.com/dt9kpjIi2b
mottamarcos,53143647,1,1009944822457733122,158,158.0,There is a real and deep change in Saudi Arabia football structure. Clubs are back on track thanks for the big efforts and dedication of the Minister of Sports His excellency Turki Alalshaikh @Turki_alalshikh. Also thanks to Saudi Pro League @musalli9 @spl. Great times are coming
PamelaGeller,15669672,1,1011015829142495232,158,158.0,Islamic Apartheid: No Football for Christians in Egypt @WorldCup: Remember how South Africa used to be shunned at sports events because of Apartheid? Why dont other supremacist regimes meet with similar exclusions? http://dlvr.it/QYNbZX pic.twitter.com/7sFHOEB7Ba
NombewuTheSeed,2551747426,1,1008464170386378752,150,150.0,A Very rare black Giraffe died for damn trophy hunting. Theres no sport in this just pure killing of animals.I wonder what kind of satisfaction they get from shooting and killing animals  #SaveAfricanWildLifepic.twitter.com/FVgdKMhYyY
Oliver__Bond,177872249,1,1003753181124481026,144,144.0,A Consultant Neurosurgeon on Sky Sports says Loris Karius should have been substituted straight away after the collision with Sergio Ramos in Kiev but admits it was a tough call for Liverpool’s medical staff.
GFFN,790371762,1,1013529092401106945,134,134.0,Breaking | West Ham United have submitted a £27m (€30.5m) bid for OGC Nice attacker Alassane Pléa according to Sky Sports.
Salansar1,1577663222,1,1008485112600760320,130,130.0, #Qatar appears to be politicizing #BeINSports broadcasts in violation of contracts with sports federations including the UEFA Campions League and @UEFA Europa League as well as #FIFA#SportWithoutPolitics #FIFAWorldCup @FIFAcom#FIFACongress #FIFA2018https://www.huffingtonpost.com/entry/qatars-bein-sports-network-is-on-the-verge-of-collapsing_us_5a10d94ee4b023121e0e9391?ncid=engmodushpmg00000004 …
BillShaikin,237627239,1,1004498751983980545,130,130.0,Luke Heimlich was not selected in the MLB draft.Heimlich 22 is the star Oregon State pitcher who pleaded guilty to molesting his niece when he was 15 and she was 6. In interviews in the New York Times and Sports Illustrated he said he did not do what he had admitted he did.
dawnstaley,18883414,1,1007047936486801409,125,125.0,My heart is broken tonite hearing this. Truly heartbroken.  Truly a sad day for our sport. What a pioneer of our game. Please let’s wrap our arms around Anne’s family!  RIP ANNE! https://twitter.com/espn_womenhoop/status/1007045118984097792 …
TheTayaValkyrie,31426210,1,1005962600562036738,122,122.0,Star of both @IMPACTWRESTLING and @LuchaElRey Taya Valkyrie has created her own path her own way with passion sacrifice hard work and love for this sport. Want to see La Wera Loca and Lucha Royalty in your promotion?? Email tayavalkyrie@gmail.com for more info!  pic.twitter.com/aBQXfZaBrA
JensonButton,23440052,1,1013536051783012352,119,119.0,Looking forward to working with the Sky Sports F1 team for the British GP especially the grid walk with Damon Hill & Martin Brundle. What juicy questions would you guys like me to ask the… https://www.instagram.com/p/BktEsPWFDuy/?utm_source=ig_twitter_share&igshid=e66as58do51s …
Sniper_baseball,2915137729,1,1012797620023152642,111,111.0,best guys ranked by sports: 15. you14. can’t13. rank12. them11. because10. they9. are8. all7. very6. amazing5. in 4. their3. own2. way1. BASEBALL PLAYERS
RealTimeWWII,364488011,1,1012805846093398016,110,110.0,Luftwaffe reconnaissance planes have spotted obstacles on cricket pitches; excited German intelligence conclusion: British working class are sabotaging the sport of plutocrats!
VbofficialOhio,154706038,1,1011715881892753409,99,99.0,You are needed!  Become an OHSAA official. It’s a great way to make extra $ make friends work with peers and to give back to the area. Visit http://officials.myohsaa.org . Register. Complete profile. Choose sport. Select a course and register for a local class. pic.twitter.com/BKGOfExT0k
DylanGeick,888650932514201602,1,1006668161285058560,92,92.0,The faces in the fortnite ProAm are blowing my mind. Pro Athletes from every sport under the sun Huge Actors Bestselling Music Artists Social Media Influencers -- Napolean Dynamite is in it ffs
Citi973,104872280,1,1004479364577284096,91,91.0,Former Sports Minister Nii Lante Vanderpuye is our guest on the Citi Breakfast Show tomorrow as we continue our dissection of @anasglobals #Number12Join @benkoku on the #CitiCBS from 6:20 ampic.twitter.com/iORexJXMhi
BatcatPosts,2261979456,1,1012820116583665665,90,90.0,Batman #50 covers by Philip Mcnulty for Heroes Comics and Sports.Batman #50 art print by Israel Silva Art when you buy #50 from Fantastico Comic. pic.twitter.com/jtPzPYFymX
DrNicolasHart,165428841,1,1011710790104113152,89,89.0,The latest impact factors for Exercise and Sport Science journals - ( Top 50 in images below ) - with some key movers and significant improvements across the board ( now reaching as high as IF 7.8 ). #Science #Exercise #SportScience #ImpactFactors #Researchpic.twitter.com/LQn4aNoiUS
HayesBrown,65551087,1,1003782519207153666,89,89.0,The president refuses to meet with a sports team because too many players want to protest police brutality instead of showing arbitrary fealty to a symbol of the country. Pretty clear from where I am which side is more patriotic but that’s just me.
josiahfavila15,1235573443,1,1004866094643871745,89,89.0,If I have a daughter who trained all year for a sport and I find out she lost to two transgender guys I’ll catch a case. If you want to be called a guy or girls that’s fine but at the end of the day genetics are genetics. https://twitter.com/gametimect/status/1003739370736816129 …
ARTBlTCH666,2871837885,1,1009548964482478081,87,87.0,the whites are at it again. HUNTING ANIMALS IS NOT A SPORT. i hope you and anyone else that takes innocent animals in their habitats lives for some awful graphic pictures gets trampled by a herd of elephants. https://twitter.com/crawfordkacee/status/997652033665683457 …
EnnisSinead,312011499,1,1010629422997737472,86,86.0,Immediately this annoyed me. But on reflection I just feel sad. I feel sad for someone who is so completely paralysed by their own prejudice & insecurities that even sport is frightening. https://twitter.com/beltel/status/1010576860546240512 …
AZATHLETICS,33601136,1,1004468258047549440,85,85.0,1114 wins44 years3 championships1 legacy that will live foreverJerry Kindall Field at Frank Sancet Stadium will soon be our new Indoor Sports Center pic.twitter.com/OorUcU5TFP
MrArsenicTM,168209032,3,1012837531929464832,255,85.0,Pablo Bentancur’s [Torreira’s agent] dark history. He was involved in homicide setting up vip prostitution network exploiting minors for the pleasure of football players & illegal sport transactions1: http://bit.ly/2JMfTFT 2: http://bit.ly/2tafVAl 3: https://bit.ly/2IElL2z pic.twitter.com/zPFd9tVIu6
HRC,19608297,3,1004860562138943489,250,83.33333333333333,”ALEXA tell me a Pride fact.” Arts Entertainment HistoryPolitics Sports@HRC and @Amazonnews have teamed up to bring you #LGBTQ facts across an array of topics this #Pride. http://www.hrc.org/blog/alexa-tell-me-a-pride-fact-celebrate-pride-month-with-hrc-and-alexa …pic.twitter.com/HtUvZzRkiY
SocialistVoice,1833919200,2,1012123191689596928,166,83.0,Animal campaigners outraged as just 5% of illegal hunters arrested after 1600 reportsThe League Against Cruel Sports has demanded more police action and a tougher law to combat illegal hunting https://www.mirror.co.uk/news/politics/animal-campaigners-outraged-just-5-12808799 …
wmnjoya,405874056,1,1009914433500573697,80,80.0,Our sports people brand Kenya very well so we dont need a middle man called @BrandKenya to organize it for us just so that politicians can give their relatives unjustifiable jobs. Our young people and sports people are doing REAL jobs that they need to be paid for.
incorrectjoon,3865162450,1,1009564918612361216,76,76.0,namjoon: i’m watching a sportsnamjoon: update! The sports did goodyoongi: did the ball....gonamjoon: fuck dude it sure didjk: what what IS this...jin: gays discussing sports
YahyaSAltaleedi,462879457,1,1008489574505631744,75,75.0,BeIN Sport has been accused of infringing broadcasting standards by politicizing coverage of the football tournamentFIFA should launch an investigation into why the broadcaster brought politics into play during coverage of World Cup#SportWithoutPolitics#عريضه_رياضه_بلا_سياسهpic.twitter.com/Nb59FjTrai
JoshEberley,257747938,2,1005913026451537920,148,74.0,The collective elation from the masses even from sports fans who dont frequent hockey for Alex Ovechkin and the Washington Capitals is what Kevin Durant gave up leaving Oklahoma City.
allaboutayannaa,550514862,1,1010628775460114432,74,74.0,If you live in cypress I’m pretty sure your parents worked hard for you to live a descent lifestyle. You either need to be playing sports or pursuing a career/starting a business. But y’all ducks rather play drug dealer.
mystery0725,2649813774,2,1012089657587314688,147,73.5,Ali Abbas: “Like  #SalmanKhan  Priyanka Chopra will also sport 5 different looks. She  will age from 28 to 60 years while he will age from 25 to 65 years in  the film.”#Bharat
sjredmond,23746411,1,1009930867823824897,71,71.0,You and your wife Melania Trump are like a really expensive sports car...that’s spun out of control and is on fire in the middle of the freeway.  There’s no telling if extraction is even possible. https://twitter.com/realdonaldtrump/status/1009916650622251009 …
TheMekh,359841283,1,1012119087126929409,68,68.0,Lebanese #BRA fans of Libya staging mock funeral of #GER after they were eliminated from the #WorldCup today. LebaneseLibyaBrazilGermany All sharing a link. How can we not say football is the world’s greatest sport? pic.twitter.com/6Dc4tWlDSe
2ndHalfPlays,960597079184863233,2,1003774358173765637,129,64.5,1 Month Package Giveaway Last 23 bets 20-3 (87%)To Enter1. Follow @2ndHalfPlays 2. RT + Like #winners #betting #sportsbetting #today #bets #soccer #makemoney #tips #news #freebets #sports
MayorOfLA,17070113,1,1007748682672816128,64,64.0,The #LA2028 Games are an incredible opportunity for us to shape the future we want to see of a strong healthy and inclusive city. Today we’re launching #SwimLA one of many new programs to expand access to sports to all young Angelenos. http://mayor.la/HRqU30kwvM7 pic.twitter.com/WOHGUT8Udl
milfordedge,331242432,1,1004484488859185153,63,63.0,Is everyone in France black?Umberto Eco: I hate sportsmen. Me I hate sport. Its just an overvaluing of the physical.Màxim Huerta new Spanish Culture and Sports Minister. pic.twitter.com/YK5tbYGSge
KeepFitJunkie,1604482548,1,1006637961830494210,62,62.0,Keep Fit Junkie offers a place where cyclists weight lifters runners swimmers extreme sport lovers & multi-sport athletes can connect with each other. If you are ready to join our growing community use this link http://bit.ly/1PirbAC  and join #YOURTRIBE!pic.twitter.com/oUaYjZdt9r
_Dre_t,41989904,1,1004872153542451201,62,62.0,Southern University students have a chip on their shoulder. There’s a constant effort to thrive in everything we do. WE WANT SMOKE in sports academics music jigging w/e period .
ntumz1,953721656966635520,1,1006636394733867014,61,61.0,A huge THANK YOU to Aobakoe Rakau (Buks) from Total Sports Menlyn! Definitely my hero!! Acted swiftly and  smart to nab these assholes!
SifuSullivan,816646576324087808,1,1011715883809624066,61,61.0,Spend more money on tutors...not sport trainers. Your grades are THEE best way to obtain a scholarship not cone drills. Theres more academic scholarship money available than athletic out here!!!!
MikeSullivan,195203803,1,1008493836413427712,59,59.0,Sick of all these sanctimonious golf experts scolding Phil Mickelson for “disrespecting” the sacred sport of golf. Get off your high horse. Dude got frustrated and took a penalty. Not a big deal. Don’t make something out of this that it’s not.
LeslieSmith_GF,858510049,1,1004466159511453696,59,59.0,me watching all the fighters complain about early weigh ins endingwhile thinking about how much better the sport of mma will be once the UFC has to respect fighter input in major decisions like this once #projectspearhead #unionize #ufcpic.twitter.com/YWqAGf4rvF
Kelsey_Dubs,863102689625993217,1,1013531839829594112,59,59.0,Best Collegiate Sports Moments Ranked:  10. You 9. Can’t  8. Rank 7. Them 6. Because 5. They’re  4. Each  3. So  2. Memorable1. Six seed NC State defeats No 1 Houston at the buzzer to win the 1983 National Championship
KLJinKey,413090790,1,1006684606291046400,58,58.0,yes I Want You its all about them the mv literally shows what SHINee love to do happy doing it and enjoy their life as a humanJinki - car/driveKibum - taking pic/selcaMinho - basketball/sportTaemin - singing/dancing pic.twitter.com/AjU0FT0MC1
rpadnis,783131414636167168,1,1003379879470133253,58,58.0,There are metal detectors and armed guards at sport stadiums museums airports concerts and when I went to Tallahassee they were in POLITICIANS OFFICES.Those places are not referred to as prisons. Why can’t schools have the same security?#expectchange
rolandsmartin,16116288,2,1004862762374320134,114,57.0,Saw something today that reminded me that we have no choice but to build & fund our own initiatives that will tell our non-entertainment and sports stories and amplify our voices. We cannot allow someone else to control the narrative. #BlackOwnedMediaMatters today more than ever!
marco_ruivivar,1000555824345841664,1,1005936106779447297,56,56.0,Please help my family and I find this dogs owner...we don’t want to have to take her to the pound... She was found yesterday in Elk Grove Machado Park around the corner from Bartholomew Sports Complex. Thank you  pic.twitter.com/Cv13VVqjcq
roadracingdaily,3130730273,3,1012823345463812098,167,55.666666666666664,Tough old day for the Docs carrying all that weight in the blistering heat. It was a long shift. Very lucky to have these guys and indeed all those who make this great sport of ours possible. Deeply grateful to them all. pic.twitter.com/X4832SgiHC
KFCBarstool,119758732,1,1012104550285799424,55,55.0,I’ll tell you what @BarstoolRia is gonna be by age 25 - one of the most successful people on the fucking internet. By then she’ll have SEVEN years under her belt crushing on every platform in front of millions at the most successful quality company in sports media
lindaikeji,27528339,1,1012081061864484865,55,55.0,Russia2018: Nigerians accuse NFF and Sports ministry officials of selling tickets meant for Nigerians to Argentines and Iceland citizens https://www.lindaikejisblog.com/2018/6/russia2018-nigerians-accuse-nff-and-sports-ministry-officials-of-selling-tickets-meant-for-nigerians-to-argentines-and-iceland-citizens.html …pic.twitter.com/1kohXJGYUP
besttravelbook,4896023595,2,1007021155474116609,104,52.0,Inspiration for your #Summer  #HolidaysPuerto Vallarta a resort town on #Mexico’s Pacific coast has fabulous beaches water sports and nightlife scene.#Travel #TravelTuesday #Photo #Photography #Mexico pic.twitter.com/6QJrcpQLc9
mo_moreau,473578388,1,1004492482980339713,52,52.0,In 2018 High school sports should be about: brotherhoodsacrifice accountability teamwork physical & mental growth competition cross-town rivals playoff runs senior nights victory bus rides tradition....not individual rankings offers & everybody gets a trophy https://twitter.com/maxpreps/status/1002618864520196096 …
DeptofDefense,66369181,1,1003773392561033217,52,52.0,For retired @USMC Staff Sgt. Danielle Pothoof competing at the #WarriorGames lets her show off her multi-sport skills. But her family says its also givng her a place to belong. #KnowYourMil #WitnessItpic.twitter.com/yzwbxAaUid
ArcheRomaion,872693947595968512,1,1008844141009293312,52,52.0,New sport in #Greece.. Chasing down politicians in the streets. No this is not some economic matter this is a National matter. They should have thought better but they did not bother consulting the people. You reap what you sow.. #MacedoniaIsGreekhttps://youtu.be/fHdstzu5m1M
TheWolvesPicks,936822976850227200,1,1012115377499791360,51,51.0,When I first started out I was just a sports bettor sharing my plays occasionally on Twitter. Today I’ve hit 1 MILLION impressions over the last 90 days.VIP page has 99 clients.THE 100TH ONE WILL BE ON MERT/Like this tweet to stand a chance to be my 100th client pic.twitter.com/itw82hmgfE
dbrainio,888326326284890113,1,1013540623700365312,49,49.0,Fox Sports explores #AI with @IBM for innovative #football experiences. FIFA #WorldCup Highlight Machine analyzes video from the FIFA World Cup archive and extracts data allowing users to search for goals red cards players. @CGinLA for @THR.https://goo.gl/CqjY28
MaxwellVerdi,225036765,1,1011036113421656067,46,46.0,NBA 2k18 is the sorriest excuse for a sports game ever. As technology advances these games shouldnt keep getting shittier and shittier. Throw the whole company away
CCSMOOTH13,45455483,1,1009921331641634816,45,45.0,In the latest @TIME @seanmgregory talks with Venus Williams about her desire to keep competing her crusade for equal prize money at Wimbledon Rafas recent comments about equal pay and the impact shes had on the sport. A good read.  http://amp.timeinc.net/time/5318227/time-with-venus-williams?__twitter_impression=true …pic.twitter.com/PmmG2DOWDX
TheBlues___,802378736347873280,5,1012803987257679872,224,44.8,The Director of Corriere dello Sport Ivan Zazzaroni: Sarri and Chelsea situation is done. #Chelsea just have to free conte  from the beginning of July things will change #CFC
FCFLio,740992982317445120,1,1007759672860790784,44,44.0,Check out our new FAN Take - Does Enhanced Tech Help Sports Viewership? What sports tech do you want to see in the FCFL? Let us know! #PowerToTheFANS #FCFL #FANTake @usopengolf http://blog.fantoken.network/fan-take-does-enhanced-tech-help-sports-viewership/ …pic.twitter.com/eMgt1CBNGI
RicTindall,53555713,1,1005584877453041664,43,43.0,Always amazing to watch a rare moment in sports... #Justify wire to wire winner. Again jockey Mike Smith thanks his Lord and Savior Jesus Christ. #BelmontStakes #TripleCrown
AdakuUfere,32942793,1,1010977261091106816,43,43.0,Men miss out on amazing music books movies sports because they consider anything centering women as feminine and not worth their time. Women consume everything whether male or female centered that’s why we’re better informed. Facts.
SkySportsF1,368276033,1,1005902379995127808,41,41.0,Bottas didnt fancy spraying the bubbly this week LIVE NOW on Sky Sports F1 – Channel 406  Sky Go: http://skysports.tv/HuzbYB  Blog: http://skysports.tv/PtJT8k #SkyF1 #F1 #CanadianGP pic.twitter.com/OkF1UeuSCU
StateDept,9624742,1,1009906755869069315,41,41.0,On July 17 @ECAatState and @espnW Global Sports Mentoring Program (GSMP) will be recognized as this year’s recipient of the Stuart Scott ENSPIRE Award at @ESPN’s annual Sports Humanitarian Awards dinner in Los Angeles. https://go.usa.gov/xQhJV
Edwin_Disla,99391201,1,1003749629647900672,41,41.0,My entry to the Udon Summer fan art competition for Street Fighter: Summer Sports Special 2018. Hope you guys like it and wish me luck I hope to be selected. #SFcomicfanart #StreetFighter #RMika @Louffy086 @TheFuudo @StreetFighter Better Resolution: https://ryusoko.deviantart.com/art/R-Mika-Street-Fighter-Summer-Sports-Special-2018-748223614 …pic.twitter.com/G8M0EPAezg
Slasher,19040580,1,1012081737961234433,40,40.0,Another successful event consulting sports industry executives looking to get into esports. They learned:-Fortnite is the biggest esport-OWL succeeds as Overwatch is easy to watch-Mobile esports will be bigger than PC and console -Smash is the most true fighting game #HS18pic.twitter.com/pvvlPkeT0Q
TheSpiritSpeak,969742486196273152,1,1012076701629628416,40,40.0,The World cup is a prime example of the fact that no matter how diverse we are we can come together & find common ground over the Love of something. Now take a second to imagine that Love shifting from competition & sports to humanity & growth as a whole. Welcome to a new age.
SkySportsDarts,355448054,2,1003369156928892928,80,40.0,VAN GERWEN WINS!NETHERLANDS RETAIN THEIR WORLD CUP TITLE!111.33 average from MVG! Sensational darts!REACTION on Sky Sports Arena or follow it here: http://skysports.tv/eUUz5H pic.twitter.com/BG33dcoFAc
KennyMcPeek,338575558,2,1012810785989545984,79,39.5,Trying to watch my horses to run @Churchill and @TVG doesn’t show on either channel.  Can’t watch on an ADW because I’m in New Jersey to run a horse @MonmouthPark   Can’t watch on @HorseRacesNow eithersport is ridiculous in how inept it is towards fans.  Someone figure this out
cgtnamerica,620136960,3,1012100769363963904,117,39.0,“Never do this. Never do this to a woman!” Brazilian sports reporter Julia Guimarães immediately confronts the man who tried to kiss her during her live report. She is the third woman to face sexual harassment while covering the #WorldCup games in Russia.pic.twitter.com/3ZdVA5qpYP
unitlostgaming,83617082,1,1010998637009219590,39,39.0,I dont understand these people tweeting at me saying football is trash lul etc etc.I used to play for a professional team. Football was my life from the age of 9-22. Its my countries national sport.So yeah Ill keep tweeting about football. Especially England.
Track_Advice,3246873882,20,1004845650973020160,761,38.05,Its very hard in the beginning to understand that the whole idea is not to beat the other runners. Eventually you learn that the competition is against the little voice inside you that wants you to quit. - George A. Sheehan #TrackAndField #Runner #Athlete #Sports
VikingAthletics,49077683,1,1012808311153004551,38,38.0,Since 2007 GV Athletics has been led by Troy Plummer....16 to 25 sports275 to 750 student-athletes 11 National ChampionshipsEmpowered coaches who achieve greatness @GrandViewAD was named AD of the year today by @NACDA and @UnderArmour for his dedication to GV!pic.twitter.com/lTaUjSYJK8
hstellingwerff,410826733,1,1004474249740865536,37,37.0,Thx @csipacific for hosting REDs(Relative Energy Deficit in Sport) day; very crucial health and performance topic for athletes/coaches. Heres my take-aways. More info from IOC consensus here: https://bit.ly/2JihFm0 pic.twitter.com/IvlXQOdQu0
marcohilley,27631507,1,1004472510690267136,37,37.0,I cannot see a single mention of this on the @BBCNews website sport or home news page. I wonder why they dont deem it newsworthy. If Argentina cancelled a match against Russia it would be front page news. https://twitter.com/sean_murray1/status/1004271714686177280 …
GrahamWP_UK,219233615,1,1010998576909049858,37,37.0,These two Albania-sucking clowns have almost undone about 20 years of Roger Federers Swiss sport image building...Granit Xhaka and Xherdan Shaqiri facing two-match World Cup bans for celebrationshttps://www.independent.co.uk/sport/football/world-cup/world-cup-2018-xherdan-shaqiri-granit-xhaka-goal-celebrations-fifa-investigation-a8414211.html …#Switzerland #WorldCup #Russia2018 #WorldCup2018
NuhuAdams_,370712020,1,1005595299765784576,36,36.0,The Africa Sports Journalists WhatsApp group needs new members. If you are a sports journalist based in Africa and wish to join WhatsApp this number +233247664106. pic.twitter.com/aUTnybvlPn
teamplayup,957721929791676416,1,1006679698825363456,35,35.0,How will the PlayChip become the cryptocurrency of choice for the fantasy sports and online gaming industry? Well check out our medium article to find out! #PlayChip #universal #blockchain #ETH #BTC #tokenhttps://medium.com/playchip/power-of-the-playchip-e406e469e934 …
