Screen Name	,user_id		,tweet_id		,retweet_count	,Global Influence Score,Tweet
AdeleBatchelder,924204482,992002487329738752,405,405.0,RT @ShaunKing: It's absolutely outrageous that Eric Reid is not yet on an @NFL roster. 
MaiaGunn,989993822,992162890236006401,1363,1363.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
DeeRun88,1398651439,992128937106067461,30310,30310.0,RT @marc_grhodes: Notice how the people who told Colin Kaepernick and LeBron James to stick to sports haven't told Kanye to stick to maki…
CLUSports,29307039,992076604443475968,4,0.5,Congrats to @CLUTrackField student-athletes Alexa Barnes Kendall Guidetti and Morgan Snyder on earning All-SCIAC!… https://t.co/TxNlzD339p
2Swoleeee17,1274133812,992166481608826880,1516,1516.0,RT @jemelehill: A NFL team is accused of shamelessly dangling women in front of their business partners like bait? Stunning since yanno t…
Notjakebarbush,3288921986,992130381263536129,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
Energetic_phil,498626181,992161067303239681,109,109.0,RT @LeftSentThis: The NFL team owned by Dan Snyder took cheerleaders out of the country withheld their passports had them take topples p…
SOwen1969,786986856,992107102213681154,363,363.0,RT @MThulbourne: Please pass on to all hockey fans. @BBCSport @TeamGBicehockey for sports team of the year. No funding yet they have made i…
elsabore1,3022352355,992130841731125250,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
Valerie_Shoop,210692905,992000091614461952,240,240.0,RT @nytimes: Topless photo shoots in front of male sponsors and an uneasy night out: Redskins cheerleaders describe an overseas trip that c…
cal_whitaker,2360380218,992001750595973120,701,701.0,RT @BarstoolIrish: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could b…
megatron_212,1632044095,992099577925947392,175,175.0,RT @Reflog_18: Toronto Ontario professional sports schedule for May 3 2018:
KyleAMadson,43921895,992125666031091712,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
joshuafpearson,33084967,992156557386354691,796,796.0,RT @WVUBarstool: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could be…
ozkardagrouch,67442064,992136477474807809,48,48.0,RT @MaximMag: WOW. https://t.co/nBdMJx6CTI
guedesluucas,923575097914478592,992085302155104256,67,67.0,RT @sportsvalue_: Receitas dos clubes em 2017
ColasantesWV,804053067293401092,992126184573034498,6,1.5,Good luck to both UHS MHS &amp; Clay Batelle sports programs as they finish up Spring sports. Wishing good luck in tou… https://t.co/oB1bgXM3b6
YungxWild,26850582,992013850978304001,74,74.0,RT @CerromeRussell: DDDs and up struggling to get into a sports bra https://t.co/QoEu769GWF
ectopic_tweet,100520967,992016949319290885,161,161.0,RT @laraibmufc: This picture is making me cry with happiness. This is so much important to me that how Pakistan is finally supporting women…
BrannonWebbXII,710490522574393350,992066955627646976,31,31.0,RT @TheOldCoach: 15 years as a Texas sports hero.
rejectsuprstar,265123993,992119477457301504,507,507.0,RT @elonjames: Uh. 
drmartintoms,183589601,992008070048964608,48,48.0,RT @DrDickB: NEW ARTICLE - FREE - The Prevalence of Pseudoscientific Ideas and Neuromyths Among Sports Coaches
BA_All__Day,1668780949,992092665171750912,77,77.0,RT @FB_FilmAnalysis: The moment Keim made the trade up for Rosen with the Raiders.
HDUSC27,135297266,992087234147856384,492,492.0,RT @BadgerFootball: Post-Spring Rankings:
wellneverletugo,131649446,992167906157965315,2680,2680.0,RT @RessiGabotto: ESTE ES GUSTAVO GRAVIA.
nathans388,840641980690444288,992055178940444674,55,55.0,RT @BroncosOffField: Hey #BroncosCountry!
baselin,4456600462,992168828145688576,35,35.0,RT @FaisalbinFarhan: The Chairman of the Saudi Genral Sports Authority @gsaksa talks to @cnn https://t.co/N0eXfvHGlX
SHarrisAuthor,1458241190,992028603260067842,950,950.0,RT @KamalaHarris: Civil rights hero Patsy Mink was the first Asian American woman elected to Congress. In 1972 she co-authored legislation…
Wonder_Bread3,249448497,992166374125469696,115,115.0,RT @WorldofIsaac: DETROIT-Asked restaurant host: God did you hear about Peter King?
mandyvoisine253,986610557863120897,992134508051808256,80,80.0,RT @ChasersOwner: I always try to stay non political here on twitter so I will just say this - Interesting unconventional and potentially…
iSportsID,1337372612,992006210131058689,24,24.0,RT @activeforlife: Throwing is a fundamental movement skill that is essential for sports such as baseball basketball cricket football a…
nellyanze2000,3001756067,992128538034753537,157,157.0,RT @RailaOdinga: A section of @OfficialGMFC paid me a courtesy call in my office. They will be travelling to Rwanda to watch the fixture ag…
wandbox,907690900129816576,992015559284768768,207,207.0,RT @sportstech_io: Check out @fansunite and their white paper on the infrastructure needed to facilitate a fully functional #blockchain en…
redeemedwife1,1534429100,992045824363376642,150,150.0,RT @wfaa: It's official! Dallas Cowboys' #JasonWitten is retiring. His 15-year career has come to an end. 6 reason we'll miss the tight end…
DieselVic,61345081,992147182781333505,579,579.0,RT @StephMcMahon: Up to 70% of girls stop playing sports by the age of 13. @TeamSheIs is working to provide resources support and role mo…
IBrownedOut,625983599,992171726896291842,347,347.0,RT @TheOnion: No Fucking Chance Kid Who Brought Mitt To 400 Level Getting Near Foul Ball https://t.co/uinDx32459 https://t.co/cSN8KlqKct
HelenRachelle,3311602260,992128537191702530,614,614.0,RT @BreitbartNews: We should be able to express how we feel about issues without everybody getting so easily offended. https://t.co/JUpa0…
Malice27359580,769675109107798017,992062114528292864,950,950.0,RT @KamalaHarris: Civil rights hero Patsy Mink was the first Asian American woman elected to Congress. In 1972 she co-authored legislation…
paugonzalessss,2884568917,992024690771181569,52,52.0,RT @GoLadySpikersss: Now the question is: Who will fill in the huge shoes left by Dawn Macandili?
Tonystormwx,2998941184,992167871034818560,123,123.0,RT @PennStateMBB: Committee approves 4-year contract extension for Coach Patrick Chambers. Philly-area native led Nittany Lions to NIT Cham…
akshaya3,238893347,992068770536476677,26,2.0,Few pictures of newly built synthetic athletic track built by AAP Government at a sports complex in East Vinod Naga… https://t.co/otcIevjeKd
coachkatycops,4385964801,992012676627910656,10386,10386.0,RT @johnbcrist: Every High School Sports Parent https://t.co/c8f1mwtx6h
GRBrown72,544480747,992119467722321920,95,95.0,RT @BADClothingUK: *COMPETITION ALERT*
sakuragied,895994983425159168,991994759186182144,580,580.0,RT @StephMcMahon: Up to 70% of girls stop playing sports by the age of 13. @TeamSheIs is working to provide resources support and role mo…
Hdz_berye,775868305387159557,992064371990900736,2874,2874.0,RT @ryanlcooper: holy shit https://t.co/zBEmaTQKWT https://t.co/zDimG5Gzlr
NOTNOTMarc,73137691,992116032880787456,253,253.0,RT @OnionSports: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/NvbsaE9qZt https://t.co/AmBnHku7aE
DayLite_raps,979117156276187136,992109702728138752,404,404.0,RT @ShaunKing: It's absolutely outrageous that Eric Reid is not yet on an @NFL roster. 
cloJUdice8,100807798,992084599558819840,77,77.0,RT @NYDNSports: BREAKING: Jets are cutting QB Bryce Petty a source tells @MMehtaNYDN https://t.co/VKgzFz6uTw https://t.co/sUMrZdmv3v
pat_arras,339401310,992134994532470785,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
sjlilly,40023786,992153218670125056,796,796.0,RT @WVUBarstool: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could be…
etranslatorvip,290635104,992151782792065025,134,134.0,RT @jodikantor: How will @Redskins fans react to the way these cheerleaders were treated? https://t.co/pfqDLFTwtX https://t.co/Xm0uEqS970
allrbgbm,221608995,992180708495020033,109,109.0,RT @LeftSentThis: The NFL team owned by Dan Snyder took cheerleaders out of the country withheld their passports had them take topples p…
nobadibacot,952231455937118208,992072241625026560,41,41.0,RT @Erotik_Center: Soapy Soccer - Today in the always exciting Soapy Soccer League… ! #Porn Clip &gt;&gt; https://t.co/jOtXtpl6BN &lt;&lt; https://t.co…
hannahxdrew,449732320,992082710100365314,93,93.0,RT @philsadelphia: full offense listening to men talk about sports is like nails on a chalkboard
IMlena23,937127593626816513,992071354932490240,62,62.0,RT @mbmxinfo: 030518 @ [Naver] Bastidores entrevista para Daily Sports
ghazi757,2504621950,992084851464564736,97,97.0,RT @FarhanKVirk: #RealPashtunHeroes In sports Pakistan has Younis Khan and Afridi who are the pride of Pakistan. We don't need Malala when…
mingoramirezjr,427652956,992025314334269441,150,150.0,RT @wfaa: It's official! Dallas Cowboys' #JasonWitten is retiring. His 15-year career has come to an end. 6 reason we'll miss the tight end…
SpohnTanner,2922307353,992072578289184768,215,215.0,RT @BarstoolASU: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could be…
ttctrendingblog,776686627829669889,992185946853425152,95,95.0,RT @abscbnsports: DLSU is now tasked with finding a replacement for the irreplaceable Dawn Macandili. #UAAPSeason80Volleyball https://t.co/…
Nude_Tayne,196677943,992144439505309696,115,115.0,RT @WorldofIsaac: DETROIT-Asked restaurant host: God did you hear about Peter King?
JohnBro13002328,966019804409860096,992097048651415552,35,35.0,RT @RedHotSquirrel: This is interesting. Ladbrokes' Next PM betting odds:
Slicketts,384443784,992061981128474625,31,31.0,RT @markellislive: Dan Snyder is the worst kind of owner and human...and I'm sure the fellow misogynist that lives down the street in the b…
coyoterose,24449772,992175832553541632,1387,1387.0,RT @SorayaMcDonald: The Washington Slurs took their cheer squad to Costa Rica for a topless/nude photoshoot confiscated their passports so…
Sonubawa12,751446632168906753,992060015371603968,59,59.0,RT @Its_simply_cute: #ChampionsCoach @Gurmeetramrahim Ji accomplished several feats in His life. As you may have noticed He is capable of…
DiegoDrowning,879121873203851264,992090406341885952,1134,1134.0,RT @nytimes: Topless photo shoots in front of male sponsors and an uneasy night out: Redskins cheerleaders describe an overseas trip that c…
JohnDugganSport,156293964,992088991439638528,46,46.0,RT @gergilroy: Want to work for Off The Ball? Closing date for application for two open roles is tomorrow. 
Olson2k18,555925202,992141738377662469,561,561.0,RT @AdamSchefter: Jason Witten not the only all-timer to leave his job today. Congratulations to @SI_PeterKing on his Hall-of-Fame run at S…
bjash,65069122,992085008847458306,351,351.0,RT @TheOnion: No Fucking Chance Kid Who Brought Mitt To 400 Level Getting Near Foul Ball https://t.co/uinDx32459 https://t.co/cSN8KlqKct
mayonewssport,49140773,992169126343905280,3,3.0,Our columnist @bjpadden11 has been looking at Stephen Rochford's time in charge of Mayo as he gets ready for his th… https://t.co/97QK2ulb6D
LakersKid4,2152104072,992158361280954368,46,46.0,RT @CraigLoperSPX: Melinda Smart mother of @JavonteSmart accepted the Louisiana Mr. Basketball award on behalf of her son today who is on…
dearlynct,739316258055720960,992029131125743616,95,95.0,RT @FS7_official: [Article] 
bunterwagner,2343506765,992041667934015489,31,31.0,RT @TheOldCoach: 15 years as a Texas sports hero.
timothywelbeck,221249442,992012660769280001,1526,1526.0,RT @jemelehill: A NFL team is accused of shamelessly dangling women in front of their business partners like bait? Stunning since yanno t…
nicfindlayisme,897009054421331968,992005591668322305,1152,1152.0,RT @BrianNorgard: What millennials will invest in over the next decade:
DailyCollegian,16084829,992136174973214721,22,1.1578947368421053,JUST IN: Pat Chambers signs 4-year extension with @PennStateMBB https://t.co/b0nmCNIahJ
NOLABOOKFAIR,1539309012,992116966885396481,112,112.0,RT @EdgeofSports: Folks should read the full article. Very instructive is that when team and a corporate sponsor are challenged about the *…
arthur_affect,65260792,992103572304084992,516,516.0,RT @elonjames: Uh. 
VWindependent,735312710,991998965066366976,3,1.5,Jaden Youtsey leads @Lancer_BASE to victory. https://t.co/VM6je0KCp8
GnomeStradamus,810576476,992088079010643968,2873,2873.0,RT @ryanlcooper: holy shit https://t.co/zBEmaTQKWT https://t.co/zDimG5Gzlr
Michael_Grella,3402494895,992175846591873025,500,500.0,RT @elonjames: Uh. 
DrDan333_,918846803927339008,992126838502764553,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
DemarioPSmith,836369424,992105347287576577,47,47.0,RT @TylerRickyTynes: 85% of sports editors 76% of assistant sports editors 80% of columnists 82% of reporters almost 78% of copy editor…
AsaabaGH,797852545150554114,992144087166808064,97,97.0,RT @wtylerallen: The most wealthy musicians in the world have acquired their wealth through: 
LolaSnooks,39867182,992139509188870144,362,362.0,RT @MThulbourne: Please pass on to all hockey fans. @BBCSport @TeamGBicehockey for sports team of the year. No funding yet they have made i…
jamikafitoussi2,992091360672051200,992097378256670720,346,346.0,RT @SportXChain: Sport X Blockchain-Based Sports IP Value Transmission Platform To Commence SOX Token EC20 Distribution Pen Agreements W…
Amidah76871748,913796445718831104,992059774039552000,244,244.0,RT @_sneakerB: [#_sneakerB]
realKyleSGibson,978803899359428608,992090448633069568,1373,1373.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
KamQuarles,26277612,992095317641211904,43,43.0,RT @dcsportsbog: Oshie on Wilson suspension via @barrysvrluga https://t.co/d7Wfd3APQS https://t.co/2W3R8oWC5f
BSyFati,3070739781,992013664512245761,1343,1343.0,RT @BUNNYMYE0N: Junmyeon !! Pulling !! Her !! Out !! From !! His !! Sports !! Car !! Oh !! My !! God !! That !! Is !! Such !! A !! Huge !!…
PokJournal,17630125,992121792138489859,6,0.8571428571428571,NBA 2K League: Former Millbrook athlete named Knicks coach... of sorts https://t.co/eDuLtXPtZF @LetsBallUp_ @KnicksGaming
G4NS35EZI3B1axX,711851787796385796,992039181034532865,65,65.0,RT @unskilled_jp: Wekfest Japan 2018 / Spoon Sports. https://t.co/k08nn9rmo9
AliKuemkh,394214263,992190683502055440,34,34.0,RT @FaisalbinFarhan: The Chairman of the Saudi Genral Sports Authority @gsaksa talks to @cnn https://t.co/N0eXfvHGlX
puffanni,98817882,992110137190924289,1371,1371.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
56chichi56,394981211,992173794021314565,1287,1287.0,RT @danielle_ivory: On a Redskins photo shoot some cheerleaders were required to be topless and others wore nothing but body paint. 
OlneyTigerTrack,1331989459,992091906459877376,442,442.0,RT @JeremyFrisch: Parents lets start at the beginning Before they sign up for sports...
Dennis3958,820673335243644928,992065075795054592,397,397.0,RT @TyEducatingLibs: Hey @espn congrats! You lost 500000 subscribers in April! You lost my subscription two years ago thanks to @stephena…
ReneGCastillo,259880031,992008269374910464,2874,2874.0,RT @ryanlcooper: holy shit https://t.co/zBEmaTQKWT https://t.co/zDimG5Gzlr
vickiwu__,106511607,992158123933732868,1187,1187.0,RT @TrophyHusbandD: You see women sit through our unhealthy relationship with sports and its stars and they take this on champion our tea…
ChristopherA_E,2718870108,992129154563928064,1290,1290.0,RT @danielle_ivory: On a Redskins photo shoot some cheerleaders were required to be topless and others wore nothing but body paint. 
RYerinnie,814097035129257988,992042991618375680,91,91.0,RT @GFSquadproject: [INFO] 180503 - MCountdown GFRIEND is trending #5 in Naver News for Entertainment / Sports section as of May 5 17:30…
brianoloughlin9,810302458895286273,992058369451134976,1134,1134.0,RT @nytimes: Topless photo shoots in front of male sponsors and an uneasy night out: Redskins cheerleaders describe an overseas trip that c…
JayneLa99848960,940411889607090176,992152308778651650,610,610.0,RT @BreitbartNews: We should be able to express how we feel about issues without everybody getting so easily offended. https://t.co/JUpa0…
SomeGuyUDntKno,4176516312,992093272293060609,153,153.0,RT @TheHerd: The Patriots could lose one player and they would lose value in their brand. The Cowboys are the No. 1 brand in the world a…
halfcity,16727183,992076544540459008,950,950.0,RT @KamalaHarris: Civil rights hero Patsy Mink was the first Asian American woman elected to Congress. In 1972 she co-authored legislation…
ddawgs33,1000589660,992139842304622592,481,481.0,RT @TheNickGeller: Men want sons so they can scream at referees in little league sports. Your ideology is flawed. This whole feminist bulls…
haab1621,827102696557604864,992022499343810560,42,42.0,RT @iam_ginghs: @Mye_Pixie @ALDubFTnQT @fthotladies @Arwen_Elfin @wengcookie @Salvesayson @ricsl1600 @montenegro_emil @ALDub_RTeam @xanria_…
Coeus1234,1696659775,992095287282814976,482,482.0,RT @TheNickGeller: Men want sons so they can scream at referees in little league sports. Your ideology is flawed. This whole feminist bulls…
martinacollects,3013098503,992128843296268291,614,614.0,RT @BreitbartNews: We should be able to express how we feel about issues without everybody getting so easily offended. https://t.co/JUpa0…
hurrykanetrinaa,2490630056,992133016288931840,1367,1367.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
ATLBlueJay,735236835924934666,992184775950643200,125,125.0,RT @MikeConti929: Atlanta sports collectively is about as exciting as its been in a while:
CrumptonHannah,797578495,992167776935653377,466,466.0,RT @BarstoolClemson: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could…
josh23464,1453023138,992081769909444615,7710,7710.0,RT @KirkHerbstreit: For all the parents/coaches that think specializing in one sport is the right thing to do. Let them play multiple sport…
Jayrico01,4608242174,992064922837139456,879,879.0,RT @abscbnsports: .@vicegandako will play outside spiker for the Vice Co. Blockbusters squad who'll compete in the #PVLonABSCBN men's divis…
Sekhonrandeep2,771369857703145472,992138758458826752,156,156.0,RT @InsanNeeru2: #ChampionsCoach 
madstevie71,1694690720,992112269491400704,420,420.0,RT @IL0VEthe80s: Retweet if you had one of these sports bags for school... https://t.co/hmKzc6FQfl
theothercraig,1300824810,992070541149458432,31,31.0,RT @JonnyOddsShark: If you're a sports bettor like me who rarely bets horses this is for you. A cheat sheet to handicap the Kentucky Derby…
noahpippin13,2610753438,992051070313684995,150,150.0,RT @wfaa: It's official! Dallas Cowboys' #JasonWitten is retiring. His 15-year career has come to an end. 6 reason we'll miss the tight end…
Heronymus,20102101,992115823052447745,507,507.0,RT @elonjames: Uh. 
_alexdavisson,568643873,992161211511918593,57,57.0,RT @WBOY12News: RCB's baseball coach invited Dylan an 18-year-old with Down's Syndrome to be an honorary bat boy. To Dylan's surprise Co…
southernhotdish,977348982459457536,992001971363106816,31,31.0,RT @emily_zinos: Common sense in the @nytimes:
neelamkranti,723966957276520449,992072361280237568,63,63.0,RT @ChoradiyaMehul: Wow Few pictures of newly built synthetic athletic track built by AAP Government at a sports complex in East Vinod Nag…
Meenu09639542,964774186299240448,992060892496904192,144,144.0,RT @ksushma140: #ChampionsCoach aka PAPA COACH @Gurmeetramrahim ji are THE BEST coach of the world players trained by him bagged many go…
brianmcguire123,2556841380,992112161152557061,482,482.0,RT @TheNickGeller: Men want sons so they can scream at referees in little league sports. Your ideology is flawed. This whole feminist bulls…
